County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Sumter County, SC,47.1,3.7,46.5,1.8,0.560046
Leon County, FL,31.4,6.0,58.0,2.1,0.559992
San Juan County, UT,0.4,4.9,46.9,2.2,0.559965
King County, WA,6.6,9.3,63.2,4.8,0.559801
Limestone County, TX,18.0,20.4,60.5,1.4,0.559616
Terrell County, TX,1.2,47.8,45.8,1.3,0.55917
Childress County, TX,10.2,29.3,58.7,1.2,0.558921
Denton County, TX,9.4,18.9,62.5,2.4,0.558831
Tattnall County, GA,29.7,10.9,58.4,1.0,0.558678
Cochise County, AZ,4.7,33.9,56.8,3.1,0.558496
Lowndes County, GA,36.8,5.4,55.0,2.0,0.558475
Smith County, TX,17.9,18.3,61.3,1.5,0.558215
Houston County, GA,29.9,6.5,58.9,2.7,0.557975
UNITED STATES,,13.2,17.1,62.6,2.4,0.557926
Sumter County, GA,52.5,5.0,40.5,1.0,0.557514
Grady County, GA,28.9,10.9,58.9,1.3,0.557299
Decatur County, GA,41.4,5.6,51.8,1.1,0.556909
Richmond County, GA,55.2,4.5,36.8,2.5,0.556878
Barbour County, AL,47.6,4.8,46.3,0.9,0.556605
Anson County, NC,48.5,3.4,45.5,1.3,0.556216
Arapahoe County, CO,10.8,18.6,62.7,3.7,0.556092
Kane County, IL,6.0,31.2,58.4,1.7,0.556089
Pitt County, NC,34.6,5.8,56.6,1.9,0.555853
Bexar County, TX,8.2,59.1,29.5,2.1,0.555597
Mellette County, SD,0.4,2.7,40.3,5.3,0.555249
ILLINOIS,,14.7,16.5,62.7,1.8,0.555075
Jefferson County, AL,42.8,3.8,51.0,1.1,0.554916
Somerset County, MD,42.8,3.8,51.0,2.0,0.554775
Baker County, GA,45.6,4.4,48.5,1.0,0.554672
Ward County, TX,4.9,50.4,43.4,1.7,0.554663
Pasquotank County, NC,37.8,4.4,54.8,2.1,0.554213
Portsmouth city, VA,53.5,3.6,39.7,2.7,0.553946
Coffee County, GA,28.0,10.6,59.7,1.2,0.55373
Bee County, TX,8.5,57.4,33.1,1.1,0.553516
Dawson County, TX,7.1,54.9,37.4,1.3,0.553319
Mitchell County, GA,47.9,4.4,46.4,0.9,0.553171
Sitka City and Borough, AK,1.0,5.8,63.6,9.3,0.553092
Tulsa County, OK,10.8,11.6,64.3,5.8,0.552901
Chesapeake city, VA,30.0,5.0,59.4,3.1,0.552588
Franklin County, WA,2.6,51.4,42.6,2.3,0.55247
Arlington County, VA,8.9,15.6,63.6,3.1,0.552435
Madera County, CA,4.0,55.7,36.4,2.4,0.552329
Baltimore County, MD,27.5,4.8,60.5,2.3,0.552251
Del Norte County, CA,3.7,19.1,63.1,4.7,0.552126
Okmulgee County, OK,8.7,3.6,63.6,8.4,0.552011
Harmon County, OK,8.0,26.7,60.7,3.8,0.551609
Nassau County, NY,12.4,15.7,63.3,1.6,0.551435
St. Francis County, AR,52.6,4.4,41.2,1.4,0.551363
Jones County, TX,13.0,26.3,60.2,1.4,0.551138
Glenn County, CA,1.1,39.5,53.9,2.7,0.550859
Danville city, VA,49.3,3.1,45.3,1.4,0.550431
Caddo Parish, LA,48.0,2.7,46.7,1.4,0.550416
Hall County, TX,7.8,34.6,56.9,1.2,0.550134
Ben Hill County, GA,35.1,6.4,56.8,1.2,0.549835
Jackson County, SD,0.7,2.0,42.7,4.7,0.549787
Ford County, KS,3.1,52.0,42.2,1.6,0.549745
Washington County, NC,49.2,4.3,45.4,1.7,0.54963
Jenkins County, GA,43.2,5.1,51.1,0.9,0.549508
Greenlee County, AZ,1.5,47.2,47.6,2.2,0.548693
Tillman County, OK,8.5,24.6,61.7,3.6,0.548564
Greene County, GA,36.9,6.3,55.8,1.2,0.548329
Desha County, AR,48.1,4.6,46.7,0.9,0.54832
Cherokee County, TX,14.9,21.7,61.8,1.8,0.54817
Madison County, FL,39.0,5.0,54.5,1.3,0.548148
Osage County, OK,11.5,3.3,64.1,7.2,0.547996
Taos County, NM,0.8,56.1,36.2,2.6,0.547937
Richmond County, NY,11.8,17.9,63.2,1.9,0.547813
Bent County, CO,6.8,31.1,59.1,1.7,0.547807
Angelina County, TX,15.6,20.8,62.0,1.2,0.547671
St. John the Baptist Parish, LA,54.9,5.2,38.5,1.1,0.547468
Crisp County, GA,43.6,3.3,51.1,1.1,0.547463
Hockley County, TX,4.1,46.2,48.7,1.2,0.54735
Santa Fe County, NM,1.1,51.1,43.5,2.1,0.547292
McCurtain County, OK,8.7,5.1,64.3,6.7,0.547169
Alachua County, FL,20.4,8.9,63.2,2.5,0.547155
Granville County, NC,32.0,7.5,58.7,1.6,0.547051
Williamson County, TX,6.7,23.8,62.3,2.5,0.546895
Bibb County, GA,53.4,3.2,40.8,1.3,0.546816
Virginia Beach city, VA,20.0,7.5,63.4,3.9,0.546513
Lincoln Parish, LA,41.4,2.7,53.0,1.1,0.546476
Essex County, VA,38.5,3.3,55.1,2.3,0.546371
Tallahatchie County, MS,56.5,6.0,36.2,1.0,0.54594
Tom Green County, TX,4.7,37.3,55.9,1.9,0.545529
Wilkes County, GA,42.6,3.7,52.1,1.4,0.54545
Toombs County, GA,25.9,11.3,61.2,1.3,0.545306
Montgomery County, AL,56.3,3.4,36.9,1.3,0.544959
VIRGINIA,,19.7,8.6,63.6,2.7,0.544823
Polk County, FL,15.6,19.0,62.8,1.9,0.544458
Scurry County, TX,5.2,38.5,55.2,1.4,0.543962
Santa Cruz County, CA,1.4,32.9,58.6,4.0,0.543935
Haywood County, TN,50.1,4.1,45.1,0.9,0.543823
Lea County, NM,4.3,54.3,39.9,1.5,0.543478
Chicot County, AR,54.7,5.3,39.3,0.9,0.543411
Alamosa County, CO,1.8,45.4,49.6,3.0,0.543385
Terry County, TX,5.0,53.0,41.6,1.2,0.543243
Edgefield County, SC,36.8,5.6,56.4,1.3,0.543149
Wilbarger County, TX,8.7,27.7,61.0,1.9,0.542915
Burke County, GA,48.5,3.0,47.0,1.4,0.542753
La Paz County, AZ,1.0,24.9,60.3,2.9,0.542742
Harnett County, NC,21.6,11.7,62.9,3.1,0.542616
Lamb County, TX,5.1,53.8,40.6,1.5,0.542523
Natchitoches Parish, LA,41.4,2.1,53.4,2.0,0.542471
Marion County, GA,32.0,6.6,59.2,1.6,0.542337
Seward County, KS,4.1,58.4,33.7,1.9,0.542263
Rockland County, NY,12.9,16.8,63.9,1.9,0.542071
Sevier County, AR,4.5,32.6,59.0,2.3,0.541947
Torrance County, NM,2.1,40.5,54.0,2.6,0.54178
Ketchikan Gateway Borough, AK,0.9,4.9,65.0,9.1,0.541652
Chickasaw County, MS,43.5,3.9,51.8,1.0,0.540811
Marshall County, MS,47.4,3.4,48.3,0.9,0.540785
Martin County, NC,43.2,3.5,52.1,1.0,0.540574
Roosevelt County, NM,2.4,40.1,54.5,2.1,0.540543
Hays County, TX,4.0,36.7,56.8,2.0,0.540343
Madison County, MS,38.5,2.9,55.7,0.8,0.540075
Ector County, TX,4.8,56.4,37.3,1.3,0.540002
Accomack County, VA,28.0,9.0,61.1,1.5,0.539878
Florence County, SC,42.0,2.4,53.2,1.2,0.539644
Quay County, NM,1.7,43.9,51.6,2.2,0.539621
Houston County, TX,26.1,10.9,61.7,1.1,0.539116
Baldwin County, GA,41.7,2.1,53.5,1.1,0.539025
Ramsey County, MN,11.6,7.3,65.1,3.3,0.538819
Hampton County, SC,53.7,3.8,41.4,1.1,0.538618
Webster County, GA,41.9,3.9,53.3,1.4,0.538615
Barnwell County, SC,44.2,2.3,51.5,1.5,0.538596
Orleans Parish, LA,60.1,5.5,31.0,1.5,0.538532
Crosby County, TX,4.4,53.8,41.2,1.6,0.538474
Nottoway County, VA,39.4,4.1,55.2,1.4,0.53813
Las Animas County, CO,1.7,42.3,53.0,2.1,0.538094
Turner County, GA,39.7,4.2,55.0,0.8,0.537973
Medina County, TX,2.9,50.6,45.3,1.1,0.53763
Cuyahoga County, OH,30.2,5.2,60.6,2.0,0.537606
Hyde County, NC,30.0,8.0,60.5,1.1,0.537389
Columbus County, NC,30.5,4.7,60.5,1.6,0.537243
Clarendon County, SC,48.9,3.0,47.2,0.9,0.537069
LOUISIANA,,32.4,4.7,59.6,1.5,0.53702
Eddy County, NM,1.9,45.7,50.3,1.6,0.536931
Pueblo County, CO,2.5,42.3,53.1,2.5,0.536856
Roanoke city, VA,28.8,5.8,61.3,2.7,0.536736
Lake County, IL,7.4,20.7,64.0,2.0,0.536693
Calhoun County, SC,42.2,3.2,53.3,1.1,0.536629
Brooks County, GA,35.0,5.6,58.1,1.2,0.536623
Yazoo County, MS,57.2,5.4,36.5,0.9,0.53656
Live Oak County, TX,4.8,36.9,57.0,0.9,0.536361
Pike County, AL,36.8,2.3,57.2,1.5,0.536147
Jackson County, MO,24.0,8.6,63.1,2.8,0.53569
Mobile County, AL,35.3,2.6,58.2,1.5,0.535304
Dallam County, TX,1.9,42.5,53.2,1.9,0.535203
Crittenden County, AR,51.5,2.2,44.6,1.2,0.535179
Hartford County, CT,15.0,16.6,64.2,2.2,0.534966
Dallas County, AR,42.2,2.7,53.5,1.3,0.534764
Warren County, MS,47.9,2.0,48.5,0.9,0.534763
Union County, NM,2.0,40.7,54.6,1.9,0.534597
Shelby County, TX,17.6,17.6,63.5,1.2,0.534549
Newberry County, SC,31.2,7.4,60.2,1.3,0.534485
Madison County, TN,37.3,3.5,57.0,1.4,0.534441
Surry County, VA,44.7,1.7,51.5,1.8,0.534312
Troup County, GA,34.9,3.6,58.5,1.4,0.534138
Cochran County, TX,4.8,56.3,38.2,1.0,0.534065
Seminole County, FL,12.0,18.6,64.4,2.4,0.533994
Juneau City and Borough, AK,1.5,6.2,66.0,9.4,0.533985
Montgomery County, NC,19.0,15.0,63.8,1.3,0.533881
Lynn County, TX,2.5,47.0,49.4,1.6,0.53385
Upton County, TX,2.6,51.6,44.5,1.6,0.533817
Wheeler County, GA,38.3,5.0,56.3,0.9,0.533755
Hale County, TX,5.9,58.0,35.5,1.2,0.533668
Lee County, AR,54.4,2.5,41.2,1.4,0.533449
Iberia Parish, LA,32.3,3.6,60.0,1.4,0.533312
Jackson County, TX,7.5,31.0,60.4,1.4,0.533163
Jefferson County, GA,54.1,3.2,41.6,0.8,0.533134
Grant County, NM,1.2,49.1,47.4,2.3,0.533092
Thurston County, NE,0.5,4.2,39.0,2.3,0.533076
Oktibbeha County, MS,36.9,1.6,57.4,1.1,0.53302
Copiah County, MS,51.1,2.8,45.3,0.9,0.532785
Early County, GA,49.5,2.0,47.1,0.8,0.53262
Franklin city, VA,56.4,2.2,38.5,2.3,0.532569
Colfax County, NM,0.9,48.4,48.2,2.0,0.532294
Gila County, AZ,0.8,18.5,63.8,1.6,0.532117
Fairfield County, CT,12.0,18.2,64.6,1.9,0.531964
Colleton County, SC,38.6,2.9,56.4,1.5,0.531762
Iberville Parish, LA,48.7,2.4,48.0,0.8,0.531761
Chaves County, NM,2.6,54.2,41.6,1.8,0.531654
Blaine County, MT,0.2,2.1,47.9,2.1,0.531525
Bennett County, SD,0.4,3.3,32.9,5.2,0.531492
Chesterfield County, VA,23.2,7.7,63.8,2.5,0.531245
Nolan County, TX,5.3,35.3,58.4,1.4,0.531194
McDuffie County, GA,40.4,2.7,55.2,1.4,0.531113
Hughes County, OK,5.7,4.4,65.1,7.3,0.53108
Brewster County, TX,1.5,43.5,52.8,1.9,0.531015
DELAWARE,,22.1,8.7,64.1,2.4,0.530787
Monroe County, AL,41.3,1.1,54.6,1.6,0.530753
Forrest County, MS,36.9,3.4,57.6,1.3,0.530621
Hall County, GA,8.1,27.2,62.3,1.4,0.530604
Goliad County, TX,5.5,35.4,58.4,1.2,0.530362
Marion County, SC,56.0,2.9,39.4,1.2,0.530066
